Keyword,Volume,KD,CPC,Intent,Buyer Persona,Relevance,Opportunity Score,Revenue Score,Organic CTR Score,AI Overview,BDP Comp Score,Allocation Bucket,Competition,Cluster
vs church translation platform,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
top multilingual church translation,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
vs multilingual church translation,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,1,false,5,Core,0.5,Church Translation
top sermon translation app,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,1041.04,1,false,5,Core,0.5,
vs sermon translation app,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,1041.04,1,false,5,Core,0.5,
top church translation,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,0.9,false,10,Core,0.5,Church Translation
vs church translation,4000,30,2.5,Informational,Church Admin,8,111.11,1041.04,0.9,false,10,Core,0.5,Church Translation
pricing live captions,2000,50,3.5,Commercial,Enterprise Buyer,8,75.47,990.13,0.55,true,10,Core,0.2,Live Translation Tools
pricing live church translation,2000,50,3.5,Commercial,Church Admin,8,75.47,990.13,1,false,5,Core,0.2,Church Translation
pricing AI church translation,2000,50,3.5,Commercial,Church Admin,8,75.47,990.13,1,false,5,Experimental,0.2,Church Translation
pricing AI sermon translation,2000,50,3.5,Commercial,Enterprise Buyer,8,75.47,990.13,1,false,5,Experimental,0.2,
pricing live sermon translation,2000,50,3.5,Commercial,Enterprise Buyer,8,75.47,990.13,1,false,5,Core,0.2,Live Translation Tools
how to use pricing church translation,1000,60,4,Commercial,Church Admin,8,30.3,835.89,0.9,false,10,Experimental,0.5,Church Translation
free church translation software,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
review church translation software,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
free church translation app,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
review church translation app,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
free church translation platform,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
review church translation platform,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
free multilingual church translation,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
review multilingual church translation,3000,40,3,Informational,Church Admin,8,61.22,830.77,1,false,5,Core,0.8,Church Translation
free sermon translation app,3000,40,3,Informational,Enterprise Buyer,8,61.22,830.77,1,false,5,Core,0.8,
review sermon translation app,3000,40,3,Informational,Enterprise Buyer,8,61.22,830.77,1,false,5,Core,0.8,
free church translation,3000,40,3,Informational,Church Admin,8,61.22,830.77,0.9,false,10,Core,0.8,Church Translation
review church translation,3000,40,3,Informational,Church Admin,8,61.22,830.77,0.9,false,10,Core,0.8,Church Translation
alternative to live captions,5000,20,2,Informational,Enterprise Buyer,8,217.39,814.7,0.55,true,8.7,Core,0.2,Live Translation Tools
alternative to live church translation,5000,20,2,Informational,Church Admin,8,217.39,814.7,1,false,5,Core,0.2,Church Translation
alternative to AI church translation,5000,20,2,Informational,Church Admin,8,217.39,814.7,1,false,5,Experimental,0.2,Church Translation
alternative to AI sermon translation,5000,20,2,Informational,Enterprise Buyer,8,217.39,814.7,1,false,5,Experimental,0.2,
alternative to live sermon translation,5000,20,2,Informational,Enterprise Buyer,8,217.39,814.7,1,false,5,Core,0.2,Live Translation Tools
top live captions,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,636.19,0.55,true,10,Core,0.5,Live Translation Tools
vs live captions,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,636.19,0.55,true,10,Core,0.5,Live Translation Tools
top live church translation,4000,30,2.5,Informational,Church Admin,8,111.11,636.19,1,false,5,Core,0.5,Church Translation
vs live church translation,4000,30,2.5,Informational,Church Admin,8,111.11,636.19,1,false,5,Core,0.5,Church Translation
top AI church translation,4000,30,2.5,Informational,Church Admin,8,111.11,636.19,1,false,5,Experimental,0.5,Church Translation
vs AI church translation,4000,30,2.5,Informational,Church Admin,8,111.11,636.19,1,false,5,Experimental,0.5,Church Translation
top AI sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,636.19,1,false,5,Experimental,0.5,
vs AI sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,636.19,1,false,5,Experimental,0.5,
top live sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,636.19,1,false,5,Core,0.5,Live Translation Tools
vs live sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,111.11,636.19,1,false,5,Core,0.5,Live Translation Tools
enterprise church translation software,2000,50,3.5,Informational,Church Admin,8,37.74,578.65,1,false,5,Core,0.2,Church Translation
enterprise church translation app,2000,50,3.5,Informational,Church Admin,8,37.74,578.65,1,false,5,Core,0.2,Church Translation
enterprise church translation platform,2000,50,3.5,Informational,Church Admin,8,37.74,578.65,1,false,5,Core,0.2,Church Translation
enterprise multilingual church translation,2000,50,3.5,Informational,Church Admin,8,37.74,578.65,1,false,5,Core,0.2,Church Translation
enterprise sermon translation app,2000,50,3.5,Informational,Enterprise Buyer,8,37.74,578.65,1,false,5,Core,0.2,
enterprise church translation,2000,50,3.5,Informational,Church Admin,8,37.74,578.65,0.9,false,10,Core,0.2,Church Translation
ai powered pricing church translation,1000,60,4,Commercial,Church Admin,8,30.3,510.82,0.55,true,10,Experimental,0.5,Church Translation
free live captions,3000,40,3,Informational,Enterprise Buyer,8,61.22,507.69,0.55,true,10,Core,0.8,Live Translation Tools
review live captions,3000,40,3,Informational,Enterprise Buyer,8,61.22,507.69,0.55,true,10,Core,0.8,Live Translation Tools
free live church translation,3000,40,3,Informational,Church Admin,8,61.22,507.69,1,false,5,Core,0.8,Church Translation
review live church translation,3000,40,3,Informational,Church Admin,8,61.22,507.69,1,false,5,Core,0.8,Church Translation
free AI church translation,3000,40,3,Informational,Church Admin,8,61.22,507.69,1,false,5,Experimental,0.8,Church Translation
review AI church translation,3000,40,3,Informational,Church Admin,8,61.22,507.69,1,false,5,Experimental,0.8,Church Translation
free AI sermon translation,3000,40,3,Informational,Enterprise Buyer,8,61.22,507.69,1,false,5,Experimental,0.8,
review AI sermon translation,3000,40,3,Informational,Enterprise Buyer,8,61.22,507.69,1,false,5,Experimental,0.8,
free live sermon translation,3000,40,3,Informational,Enterprise Buyer,8,61.22,507.69,1,false,5,Core,0.8,Live Translation Tools
review live sermon translation,3000,40,3,Informational,Enterprise Buyer,8,61.22,507.69,1,false,5,Core,0.8,Live Translation Tools
enterprise live captions,2000,50,3.5,Informational,Enterprise Buyer,8,37.74,353.62,0.55,true,10,Core,0.2,Live Translation Tools
enterprise live church translation,2000,50,3.5,Informational,Church Admin,8,37.74,353.62,1,false,5,Core,0.2,Church Translation
enterprise AI church translation,2000,50,3.5,Informational,Church Admin,8,37.74,353.62,1,false,5,Experimental,0.2,Church Translation
enterprise AI sermon translation,2000,50,3.5,Informational,Enterprise Buyer,8,37.74,353.62,1,false,5,Experimental,0.2,
enterprise live sermon translation,2000,50,3.5,Informational,Enterprise Buyer,8,37.74,353.62,1,false,5,Core,0.2,Live Translation Tools
how to use church translation software,1000,60,4,Informational,Church Admin,8,15.15,298.53,1,false,5,Core,0.5,Church Translation
how to use church translation app,1000,60,4,Informational,Church Admin,8,15.15,298.53,1,false,5,Core,0.5,Church Translation
how to use church translation platform,1000,60,4,Informational,Church Admin,8,15.15,298.53,1,false,5,Core,0.5,Church Translation
how to use multilingual church translation,1000,60,4,Informational,Church Admin,8,15.15,298.53,1,false,5,Core,0.5,Church Translation
how to use sermon translation app,1000,60,4,Informational,Enterprise Buyer,8,15.15,298.53,1,false,5,Core,0.5,
how to use church translation,1000,60,4,Informational,Church Admin,8,15.15,298.53,0.9,false,10,Experimental,0.5,Church Translation
ai powered church translation,1000,60,4,Informational,Church Admin,8,15.15,182.44,0.55,true,10,Experimental,0.5,Church Translation
ai powered live captions,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,0.55,true,10,Experimental,0.5,Live Translation Tools
how to use live captions,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,0.55,true,10,Experimental,0.5,Live Translation Tools
ai powered church translation software,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Experimental,0.5,Church Translation
ai powered church translation app,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Experimental,0.5,Church Translation
ai powered church translation platform,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Experimental,0.5,Church Translation
ai powered live church translation,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Core,0.5,Church Translation
how to use live church translation,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Core,0.5,Church Translation
ai powered multilingual church translation,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Core,0.5,Church Translation
ai powered AI church translation,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Core,0.5,Church Translation
how to use AI church translation,1000,60,4,Informational,Church Admin,8,15.15,182.44,1,false,5,Core,0.5,Church Translation
ai powered AI sermon translation,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,1,false,5,Core,0.5,
how to use AI sermon translation,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,1,false,5,Core,0.5,
ai powered sermon translation app,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,1,false,5,Core,0.5,
ai powered live sermon translation,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,1,false,5,Core,0.5,Live Translation Tools
how to use live sermon translation,1000,60,4,Informational,Enterprise Buyer,8,15.15,182.44,1,false,5,Core,0.5,Live Translation Tools
