Keyword,Volume,KD,CPC,Intent,Buyer Persona,Relevance,Revenue Score,Competition,Cluster,Allocation Bucket,Source
top multilingual church translation,4000,30,2.5,Informational,Church Admin,8,1041.04,0.5,Church Translation,Core,Master
vs multilingual church translation,4000,30,2.5,Informational,Church Admin,8,1041.04,0.5,Church Translation,Core,Master
top sermon translation app,4000,30,2.5,Informational,Enterprise Buyer,8,1041.04,0.5,,Core,Master
vs sermon translation app,4000,30,2.5,Informational,Enterprise Buyer,8,1041.04,0.5,,Core,Master
top church translation,4000,30,2.5,Informational,Church Admin,8,1041.04,0.5,Church Translation,Core,Master
vs church translation,4000,30,2.5,Informational,Church Admin,8,1041.04,0.5,Church Translation,Core,Master
pricing live captions,2000,50,3.5,Commercial,Enterprise Buyer,8,990.13,0.2,Live Translation Tools,Core,Master
pricing live church translation,2000,50,3.5,Commercial,Church Admin,8,990.13,0.2,Church Translation,Core,Master
pricing AI church translation,2000,50,3.5,Commercial,Church Admin,8,990.13,0.2,Church Translation,Experimental,Master
pricing AI sermon translation,2000,50,3.5,Commercial,Enterprise Buyer,8,990.13,0.2,,Experimental,Master
pricing live sermon translation,2000,50,3.5,Commercial,Enterprise Buyer,8,990.13,0.2,Live Translation Tools,Core,Master
how to use pricing church translation,1000,60,4,Commercial,Church Admin,8,835.89,0.5,Church Translation,Experimental,Master
free church translation software,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
review church translation software,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
free church translation app,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
review church translation app,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
free church translation platform,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
review church translation platform,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
free multilingual church translation,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
review multilingual church translation,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
free sermon translation app,3000,40,3,Informational,Enterprise Buyer,8,830.77,0.8,,Core,Master
review sermon translation app,3000,40,3,Informational,Enterprise Buyer,8,830.77,0.8,,Core,Master
free church translation,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
review church translation,3000,40,3,Informational,Church Admin,8,830.77,0.8,Church Translation,Core,Master
alternative to live captions,5000,20,2,Informational,Enterprise Buyer,8,814.7,0.2,Live Translation Tools,Core,Master
alternative to live church translation,5000,20,2,Informational,Church Admin,8,814.7,0.2,Church Translation,Core,Master
alternative to AI church translation,5000,20,2,Informational,Church Admin,8,814.7,0.2,Church Translation,Experimental,Master
alternative to AI sermon translation,5000,20,2,Informational,Enterprise Buyer,8,814.7,0.2,,Experimental,Master
alternative to live sermon translation,5000,20,2,Informational,Enterprise Buyer,8,814.7,0.2,Live Translation Tools,Core,Master
top live captions,4000,30,2.5,Informational,Enterprise Buyer,8,636.19,0.5,Live Translation Tools,Core,Master
vs live captions,4000,30,2.5,Informational,Enterprise Buyer,8,636.19,0.5,Live Translation Tools,Core,Master
top live church translation,4000,30,2.5,Informational,Church Admin,8,636.19,0.5,Church Translation,Core,Master
vs live church translation,4000,30,2.5,Informational,Church Admin,8,636.19,0.5,Church Translation,Core,Master
top AI church translation,4000,30,2.5,Informational,Church Admin,8,636.19,0.5,Church Translation,Experimental,Master
vs AI church translation,4000,30,2.5,Informational,Church Admin,8,636.19,0.5,Church Translation,Experimental,Master
top AI sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,636.19,0.5,,Experimental,Master
vs AI sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,636.19,0.5,,Experimental,Master
top live sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,636.19,0.5,Live Translation Tools,Core,Master
vs live sermon translation,4000,30,2.5,Informational,Enterprise Buyer,8,636.19,0.5,Live Translation Tools,Core,Master
enterprise church translation software,2000,50,3.5,Informational,Church Admin,8,578.65,0.2,Church Translation,Core,Master
enterprise church translation app,2000,50,3.5,Informational,Church Admin,8,578.65,0.2,Church Translation,Core,Master
enterprise church translation platform,2000,50,3.5,Informational,Church Admin,8,578.65,0.2,Church Translation,Core,Master
enterprise multilingual church translation,2000,50,3.5,Informational,Church Admin,8,578.65,0.2,Church Translation,Core,Master
enterprise sermon translation app,2000,50,3.5,Informational,Enterprise Buyer,8,578.65,0.2,,Core,Master
enterprise church translation,2000,50,3.5,Informational,Church Admin,8,578.65,0.2,Church Translation,Core,Master
ai powered pricing church translation,1000,60,4,Commercial,Church Admin,8,510.82,0.5,Church Translation,Experimental,Master
free live captions,3000,40,3,Informational,Enterprise Buyer,8,507.69,0.8,Live Translation Tools,Core,Master
review live captions,3000,40,3,Informational,Enterprise Buyer,8,507.69,0.8,Live Translation Tools,Core,Master
free live church translation,3000,40,3,Informational,Church Admin,8,507.69,0.8,Church Translation,Core,Master
review live church translation,3000,40,3,Informational,Church Admin,8,507.69,0.8,Church Translation,Core,Master
free AI church translation,3000,40,3,Informational,Church Admin,8,507.69,0.8,Church Translation,Experimental,Master
review AI church translation,3000,40,3,Informational,Church Admin,8,507.69,0.8,Church Translation,Experimental,Master
free AI sermon translation,3000,40,3,Informational,Enterprise Buyer,8,507.69,0.8,,Experimental,Master
review AI sermon translation,3000,40,3,Informational,Enterprise Buyer,8,507.69,0.8,,Experimental,Master
free live sermon translation,3000,40,3,Informational,Enterprise Buyer,8,507.69,0.8,Live Translation Tools,Core,Master
review live sermon translation,3000,40,3,Informational,Enterprise Buyer,8,507.69,0.8,Live Translation Tools,Core,Master
enterprise live captions,2000,50,3.5,Informational,Enterprise Buyer,8,353.62,0.2,Live Translation Tools,Core,Master
enterprise live church translation,2000,50,3.5,Informational,Church Admin,8,353.62,0.2,Church Translation,Core,Master
enterprise AI church translation,2000,50,3.5,Informational,Church Admin,8,353.62,0.2,Church Translation,Experimental,Master
enterprise AI sermon translation,2000,50,3.5,Informational,Enterprise Buyer,8,353.62,0.2,,Experimental,Master
enterprise live sermon translation,2000,50,3.5,Informational,Enterprise Buyer,8,353.62,0.2,Live Translation Tools,Core,Master
how to use church translation software,1000,60,4,Informational,Church Admin,8,298.53,0.5,Church Translation,Core,Master
how to use church translation app,1000,60,4,Informational,Church Admin,8,298.53,0.5,Church Translation,Core,Master
how to use church translation platform,1000,60,4,Informational,Church Admin,8,298.53,0.5,Church Translation,Core,Master
how to use multilingual church translation,1000,60,4,Informational,Church Admin,8,298.53,0.5,Church Translation,Core,Master
how to use sermon translation app,1000,60,4,Informational,Enterprise Buyer,8,298.53,0.5,,Core,Master
how to use church translation,1000,60,4,Informational,Church Admin,8,298.53,0.5,Church Translation,Experimental,Master
ai powered church translation,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Experimental,Master
ai powered live captions,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,Live Translation Tools,Experimental,Master
how to use live captions,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,Live Translation Tools,Experimental,Master
ai powered church translation software,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Experimental,Master
ai powered church translation app,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Experimental,Master
ai powered church translation platform,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Experimental,Master
ai powered live church translation,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Core,Master
how to use live church translation,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Core,Master
ai powered multilingual church translation,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Core,Master
ai powered AI church translation,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Core,Master
how to use AI church translation,1000,60,4,Informational,Church Admin,8,182.44,0.5,Church Translation,Core,Master
ai powered AI sermon translation,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,,Core,Master
how to use AI sermon translation,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,,Core,Master
ai powered sermon translation app,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,,Core,Master
ai powered live sermon translation,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,Live Translation Tools,Core,Master
how to use live sermon translation,1000,60,4,Informational,Enterprise Buyer,8,182.44,0.5,Live Translation Tools,Core,Master
